state,pct_need,pct_sud,year
Alabama,6.36,6.86,2017
Alaska,8.81,9.26,2017
Arizona,7.41,7.73,2017
Arkansas,6.85,7.72,2017
California,7.41,7.78,2017
Colorado,8.94,9.07,2017
Connecticut,7.8,8.77,2017
Delaware,8.05,8.93,2017
District of Columbia,10.67,11.55,2017
Florida,6.84,7.16,2017
Georgia,6.04,6.32,2017
Hawaii,6.5,7.03,2017
Idaho,7.33,8.18,2017
Illinois,7.78,8.32,2017
Indiana,6.9,7.56,2017
Iowa,8.58,9.2,2017
Kansas,6.59,7.24,2017
Kentucky,6.63,7.47,2017
Louisiana,7.61,8.46,2017
Maine,7.94,8.36,2017
Maryland,7.15,7.89,2017
Massachusetts,9.15,10.13,2017
Michigan,7.26,7.93,2017
Minnesota,6.19,6.97,2017
Mississippi,5.99,6.77,2017
Missouri,6.84,7.66,2017
Montana,8.57,9.23,2017
Nebraska,7.1,8.08,2017
Nevada,7.91,8.32,2017
New Hampshire,8.13,8.69,2017
New Jersey,5.99,6.52,2017
New Mexico,7.68,8.22,2017
New York,7.35,8.04,2017
North Carolina,5.82,6.54,2017
North Dakota,7.9,8.6,2017
Ohio,7.37,8.05,2017
Oklahoma,7.12,7.78,2017
Oregon,9.22,9.76,2017
Pennsylvania,6.41,7.22,2017
Rhode Island,8.25,8.77,2017
South Carolina,7.18,7.86,2017
South Dakota,8.54,9.56,2017
Tennessee,6.38,6.94,2017
Texas,6.01,6.44,2017
Utah,6.53,7.19,2017
Vermont,9.07,9.99,2017
Virginia,7.4,7.78,2017
Washington,8.26,8.89,2017
West Virginia,6.13,6.47,2017
Wisconsin,7.76,8.52,2017
Wyoming,7.39,8.05,2017
