state,pct_need,pct_sud,year
Alabama,7.15,7.89,2019
Alaska,9.36,10.23,2019
Arizona,6.81,7.11,2019
Arkansas,6.54,7.16,2019
California,8.76,9.23,2019
Colorado,11.03,11.75,2019
Connecticut,7.59,8.43,2019
Delaware,7.75,8.79,2019
District of Columbia,10.85,12.3,2019
Florida,5.65,5.98,2019
Georgia,6.25,6.6,2019
Hawaii,7.67,8.45,2019
Idaho,7.01,7.67,2019
Illinois,7.27,8.02,2019
Indiana,7.82,8.42,2019
Iowa,7.18,8.05,2019
Kansas,6.68,7.29,2019
Kentucky,6.97,7.87,2019
Louisiana,7.24,8.06,2019
Maine,8.2,8.89,2019
Maryland,6.38,7.01,2019
Massachusetts,7.89,8.83,2019
Michigan,7.11,7.56,2019
Minnesota,7.29,7.62,2019
Mississippi,6.52,7.15,2019
Missouri,7.11,7.71,2019
Montana,9.59,10.04,2019
Nebraska,7.07,7.71,2019
Nevada,8.62,9.32,2019
New Hampshire,8.21,8.84,2019
New Jersey,6.29,6.71,2019
New Mexico,7.19,7.7,2019
New York,6.94,7.43,2019
North Carolina,6.86,7.26,2019
North Dakota,8.29,8.88,2019
Ohio,6.99,7.94,2019
Oklahoma,7.4,8.01,2019
Oregon,8.93,9.78,2019
Pennsylvania,6.6,7.31,2019
Rhode Island,7.99,8.95,2019
South Carolina,6.29,6.73,2019
South Dakota,6.9,7.69,2019
Tennessee,6.49,7.22,2019
Texas,6.17,6.48,2019
Utah,6.06,6.56,2019
Vermont,8.89,10.1,2019
Virginia,6.94,7.33,2019
Washington,7.97,8.62,2019
West Virginia,5.65,6.29,2019
Wisconsin,7.43,7.98,2019
Wyoming,6.83,7.84,2019
