state,pct_need,pct_sud,year
Alabama,6.11,6.6,2016
Alaska,9.12,9.72,2016
Arizona,7.52,7.78,2016
Arkansas,6.26,6.94,2016
California,8.4,8.8,2016
Colorado,8.55,8.67,2016
Connecticut,8.81,9.59,2016
Delaware,7.5,8.26,2016
District of Columbia,10.09,10.59,2016
Florida,6.93,7.35,2016
Georgia,6.22,6.54,2016
Hawaii,6.7,7.23,2016
Idaho,7.34,7.9,2016
Illinois,7.35,7.8,2016
Indiana,6.83,7.43,2016
Iowa,7.56,8.03,2016
Kansas,6.35,7.04,2016
Kentucky,6.96,8.1,2016
Louisiana,7.88,8.48,2016
Maine,7.38,7.85,2016
Maryland,7.74,8.62,2016
Massachusetts,9.16,10.31,2016
Michigan,7.61,8.08,2016
Minnesota,6.99,7.99,2016
Mississippi,6.18,6.69,2016
Missouri,7.29,7.99,2016
Montana,8.51,9.14,2016
Nebraska,7.31,8.23,2016
Nevada,7.07,7.44,2016
New Hampshire,7.93,8.66,2016
New Jersey,6.03,6.53,2016
New Mexico,8.58,9.09,2016
New York,7.41,8.33,2016
North Carolina,6.05,7.03,2016
North Dakota,8.43,8.98,2016
Ohio,7.5,8.25,2016
Oklahoma,6.48,7.15,2016
Oregon,9.6,9.88,2016
Pennsylvania,7.18,7.8,2016
Rhode Island,8.79,9.22,2016
South Carolina,7.5,8.1,2016
South Dakota,8.44,9.29,2016
Tennessee,6.44,7.14,2016
Texas,6.6,6.93,2016
Utah,5.91,6.35,2016
Vermont,8.6,9.59,2016
Virginia,7.35,7.74,2016
Washington,7.85,8.43,2016
West Virginia,6.02,6.33,2016
Wisconsin,8.6,9.1,2016
Wyoming,7.6,8.43,2016
